installment_id,plan_id,installment_no,due_date,amount_due_usd,paid_date,paid_amount_usd,late_fee_usd,status
44,11,1,2026-02-19,454.67,2026-02-18,454.67,0.00,paid
45,11,2,2026-03-21,454.67,2026-03-25,454.67,7.00,late
46,11,3,2026-04-20,454.67,2026-04-17,454.67,0.00,paid
47,12,1,2026-03-23,75.32,,,7.00,written_off
48,12,2,2026-04-22,75.32,,,7.00,missed
49,12,3,2026-05-22,75.32,,,7.00,missed
50,13,1,2026-03-26,39.78,2026-03-29,39.78,0.00,paid
51,13,2,2026-04-09,39.78,2026-04-09,39.78,0.00,paid
52,13,3,2026-04-23,39.78,2026-04-30,39.78,7.00,late
53,13,4,2026-05-07,39.78,2026-05-09,39.78,0.00,paid
54,14,1,2026-05-14,37.43,2026-05-12,37.43,0.00,paid
55,14,2,2026-06-13,37.43,2026-06-14,37.43,0.00,paid
56,14,3,2026-07-13,37.43,,,0.00,scheduled
57,14,4,2026-08-12,37.43,,,0.00,scheduled
58,14,5,2026-09-11,37.43,,,0.00,scheduled
59,14,6,2026-10-11,37.43,,,0.00,scheduled
60,14,7,2026-11-10,37.43,,,0.00,scheduled
61,14,8,2026-12-10,37.43,,,0.00,scheduled
62,14,9,2027-01-09,37.43,,,0.00,scheduled
63,14,10,2027-02-08,37.43,,,0.00,scheduled
64,14,11,2027-03-10,37.43,,,0.00,scheduled
65,14,12,2027-04-09,37.43,,,0.00,scheduled
66,15,1,2025-10-13,337.26,2025-10-12,337.26,0.00,paid
67,15,2,2025-11-12,337.26,2025-11-10,337.26,0.00,paid
68,15,3,2025-12-12,337.26,2025-12-15,337.26,0.00,paid
69,16,1,2025-08-04,47.80,2025-08-06,47.80,0.00,paid
70,16,2,2025-09-03,47.80,2025-09-04,47.80,0.00,paid
71,16,3,2025-10-03,47.80,2025-10-01,47.80,0.00,paid
72,16,4,2025-11-02,47.80,2025-11-04,47.80,0.00,paid
73,16,5,2025-12-02,47.80,2025-11-30,47.80,0.00,paid
74,16,6,2026-01-01,47.80,2026-01-03,47.80,0.00,paid
75,17,1,2025-11-27,156.69,2025-11-30,156.69,0.00,paid
76,17,2,2025-12-11,156.69,2025-12-12,156.69,0.00,paid
77,17,3,2025-12-25,156.69,2025-12-22,156.69,0.00,paid
78,17,4,2026-01-08,156.69,2026-01-15,156.69,7.00,late
79,18,1,2026-05-07,43.85,2026-05-05,43.85,0.00,paid
80,18,2,2026-06-06,43.85,2026-06-04,43.85,0.00,paid
81,18,3,2026-07-06,43.85,,,0.00,scheduled
82,18,4,2026-08-05,43.85,,,0.00,scheduled
83,18,5,2026-09-04,43.85,,,0.00,scheduled
84,18,6,2026-10-04,43.85,,,0.00,scheduled
85,19,1,2026-06-15,32.63,,,7.00,late
86,19,2,2026-07-15,32.63,,,0.00,scheduled
87,19,3,2026-08-14,32.63,,,0.00,scheduled
88,20,1,2025-09-07,337.50,2025-09-12,337.50,7.00,late
89,20,2,2025-09-21,337.50,2025-10-08,337.50,7.00,late
90,20,3,2025-10-05,337.50,2025-10-06,337.50,0.00,paid
91,20,4,2025-10-19,337.50,2025-10-16,337.50,0.00,paid
92,21,1,2025-11-04,75.10,2025-11-02,75.10,0.00,paid
93,21,2,2025-12-04,75.10,2025-12-09,75.10,7.00,late
94,21,3,2026-01-03,75.10,2026-01-01,75.10,0.00,paid
95,22,1,2026-02-06,88.26,2026-02-07,88.26,0.00,paid
96,22,2,2026-02-20,88.26,2026-02-20,88.26,0.00,paid
97,22,3,2026-03-06,88.26,2026-03-06,88.26,0.00,paid
98,22,4,2026-03-20,88.26,2026-04-06,88.26,7.00,late
99,23,1,2026-02-22,81.90,2026-02-22,81.90,0.00,paid
100,23,2,2026-03-24,81.90,2026-03-28,81.90,7.00,late
101,23,3,2026-04-23,81.90,2026-04-26,81.90,0.00,paid
102,23,4,2026-05-23,81.90,2026-05-22,81.90,0.00,paid
103,23,5,2026-06-22,81.90,2026-06-25,81.90,0.00,paid
104,23,6,2026-07-22,81.90,,,0.00,scheduled
105,24,1,2026-06-08,58.32,,,7.00,late
106,24,2,2026-06-22,58.32,,,7.00,late
107,24,3,2026-07-06,58.32,,,0.00,scheduled
108,24,4,2026-07-20,58.32,,,0.00,scheduled
109,25,1,2026-06-18,77.73,,,7.00,late
110,25,2,2026-07-02,77.73,,,0.00,scheduled
111,25,3,2026-07-16,77.73,,,0.00,scheduled
112,25,4,2026-07-30,77.73,,,0.00,scheduled
113,26,1,2026-07-01,89.82,,,7.00,late
114,26,2,2026-07-15,89.82,,,0.00,scheduled
115,26,3,2026-07-29,89.82,,,0.00,scheduled
116,26,4,2026-08-12,89.82,,,0.00,scheduled
117,27,1,2026-06-05,93.42,,,7.00,late
118,27,2,2026-06-19,93.42,,,7.00,late
119,27,3,2026-07-03,93.42,,,0.00,scheduled
120,27,4,2026-07-17,93.42,,,0.00,scheduled
121,28,1,2026-07-08,89.11,,,0.00,scheduled
122,28,2,2026-08-07,89.11,,,0.00,scheduled
123,28,3,2026-09-06,89.11,,,0.00,scheduled
124,29,1,2026-06-24,100.06,,,7.00,late
125,29,2,2026-07-24,100.06,,,0.00,scheduled
126,29,3,2026-08-23,100.06,,,0.00,scheduled
127,29,4,2026-09-22,100.06,,,0.00,scheduled
128,29,5,2026-10-22,100.06,,,0.00,scheduled
129,29,6,2026-11-21,100.06,,,0.00,scheduled
130,30,1,2026-06-14,35.70,,,7.00,late
131,30,2,2026-07-14,35.70,,,0.00,scheduled
132,30,3,2026-08-13,35.70,,,0.00,scheduled
133,30,4,2026-09-12,35.70,,,0.00,scheduled
134,30,5,2026-10-12,35.70,,,0.00,scheduled
135,30,6,2026-11-11,35.70,,,0.00,scheduled
136,31,1,2026-06-02,101.69,,,7.00,late
137,31,2,2026-06-16,101.69,,,7.00,late
138,31,3,2026-06-30,101.69,,,7.00,late
139,31,4,2026-07-14,101.69,,,0.00,scheduled
140,32,1,2026-07-09,22.33,,,0.00,scheduled
141,32,2,2026-08-08,22.33,,,0.00,scheduled
142,32,3,2026-09-07,22.33,,,0.00,scheduled
143,32,4,2026-10-07,22.33,,,0.00,scheduled
144,32,5,2026-11-06,22.33,,,0.00,scheduled
145,32,6,2026-12-06,22.33,,,0.00,scheduled
146,32,7,2027-01-05,22.33,,,0.00,scheduled
147,32,8,2027-02-04,22.33,,,0.00,scheduled
148,32,9,2027-03-06,22.33,,,0.00,scheduled
149,32,10,2027-04-05,22.33,,,0.00,scheduled
150,32,11,2027-05-05,22.33,,,0.00,scheduled
151,32,12,2027-06-04,22.33,,,0.00,scheduled
152,33,1,2026-06-03,93.85,,,7.00,late
153,33,2,2026-06-17,93.85,,,7.00,late
154,33,3,2026-07-01,93.85,,,7.00,late
155,33,4,2026-07-15,93.85,,,0.00,scheduled
156,34,1,2026-07-17,50.97,,,0.00,scheduled
157,34,2,2026-08-16,50.97,,,0.00,scheduled
158,34,3,2026-09-15,50.97,,,0.00,scheduled
159,34,4,2026-10-15,50.97,,,0.00,scheduled
160,34,5,2026-11-14,50.97,,,0.00,scheduled
161,34,6,2026-12-14,50.97,,,0.00,scheduled
162,35,1,2026-07-14,111.29,,,0.00,scheduled
163,35,2,2026-07-28,111.29,,,0.00,scheduled
164,35,3,2026-08-11,111.29,,,0.00,scheduled
165,35,4,2026-08-25,111.29,,,0.00,scheduled
166,36,1,2026-07-18,98.44,,,0.00,scheduled
167,36,2,2026-08-01,98.44,,,0.00,scheduled
168,36,3,2026-08-15,98.44,,,0.00,scheduled
169,36,4,2026-08-29,98.44,,,0.00,scheduled
170,37,1,2026-06-16,84.24,,,7.00,late
171,37,2,2026-07-16,84.24,,,0.00,scheduled
172,37,3,2026-08-15,84.24,,,0.00,scheduled
173,38,1,2026-06-04,125.51,,,7.00,late
174,38,2,2026-06-18,125.51,,,7.00,late
175,38,3,2026-07-02,125.51,,,0.00,scheduled
176,38,4,2026-07-16,125.51,,,0.00,scheduled
177,39,1,2026-07-11,334.04,,,0.00,scheduled
178,39,2,2026-08-10,334.04,,,0.00,scheduled
179,39,3,2026-09-09,334.04,,,0.00,scheduled
180,40,1,2026-07-16,14.41,,,0.00,scheduled
181,40,2,2026-08-15,14.41,,,0.00,scheduled
182,40,3,2026-09-14,14.41,,,0.00,scheduled
183,40,4,2026-10-14,14.41,,,0.00,scheduled
184,40,5,2026-11-13,14.41,,,0.00,scheduled
185,40,6,2026-12-13,14.41,,,0.00,scheduled
186,41,1,2026-06-20,93.56,,,7.00,late
187,41,2,2026-07-04,93.56,,,0.00,scheduled
188,41,3,2026-07-18,93.56,,,0.00,scheduled
189,41,4,2026-08-01,93.56,,,0.00,scheduled
190,42,1,2026-07-10,98.05,,,0.00,scheduled
191,42,2,2026-08-09,98.05,,,0.00,scheduled
192,42,3,2026-09-08,98.05,,,0.00,scheduled
193,43,1,2026-06-23,14.21,,,7.00,late
194,43,2,2026-07-23,14.21,,,0.00,scheduled
195,43,3,2026-08-22,14.21,,,0.00,scheduled
196,43,4,2026-09-21,14.21,,,0.00,scheduled
197,43,5,2026-10-21,14.21,,,0.00,scheduled
198,43,6,2026-11-20,14.21,,,0.00,scheduled
199,43,7,2026-12-20,14.21,,,0.00,scheduled
200,43,8,2027-01-19,14.21,,,0.00,scheduled
201,43,9,2027-02-18,14.21,,,0.00,scheduled
202,43,10,2027-03-20,14.21,,,0.00,scheduled
203,43,11,2027-04-19,14.21,,,0.00,scheduled
204,43,12,2027-05-19,14.21,,,0.00,scheduled
205,44,1,2026-06-11,123.32,,,7.00,late
206,44,2,2026-06-25,123.32,,,7.00,late
207,44,3,2026-07-09,123.32,,,0.00,scheduled
208,44,4,2026-07-23,123.32,,,0.00,scheduled
209,45,1,2026-06-15,98.02,,,7.00,late
210,45,2,2026-07-15,98.02,,,0.00,scheduled
211,45,3,2026-08-14,98.02,,,0.00,scheduled
212,46,1,2026-06-11,53.70,,,7.00,late
213,46,2,2026-07-11,53.70,,,0.00,scheduled
214,46,3,2026-08-10,53.70,,,0.00,scheduled
215,46,4,2026-09-09,53.70,,,0.00,scheduled
216,46,5,2026-10-09,53.70,,,0.00,scheduled
217,46,6,2026-11-08,53.70,,,0.00,scheduled
218,46,7,2026-12-08,53.70,,,0.00,scheduled
219,46,8,2027-01-07,53.70,,,0.00,scheduled
220,46,9,2027-02-06,53.70,,,0.00,scheduled
221,46,10,2027-03-08,53.70,,,0.00,scheduled
222,46,11,2027-04-07,53.70,,,0.00,scheduled
223,46,12,2027-05-07,53.70,,,0.00,scheduled
224,47,1,2026-01-31,29.15,2026-01-28,29.15,0.00,paid
225,47,2,2026-02-14,29.15,2026-02-11,29.15,0.00,paid
226,47,3,2026-02-28,29.15,2026-02-25,29.15,0.00,paid
227,47,4,2026-03-14,29.15,2026-03-12,29.15,0.00,paid
228,48,1,2026-05-01,56.69,2026-04-30,56.69,0.00,paid
229,48,2,2026-05-31,56.69,2026-06-17,56.69,7.00,late
230,48,3,2026-06-30,56.69,2026-07-01,56.69,7.00,late
231,48,4,2026-07-30,56.69,,,0.00,scheduled
232,48,5,2026-08-29,56.69,,,0.00,scheduled
233,48,6,2026-09-28,56.69,,,0.00,scheduled
234,48,7,2026-10-28,56.69,,,0.00,scheduled
235,48,8,2026-11-27,56.69,,,0.00,scheduled
236,48,9,2026-12-27,56.69,,,0.00,scheduled
237,48,10,2027-01-26,56.69,,,0.00,scheduled
238,48,11,2027-02-25,56.69,,,0.00,scheduled
239,48,12,2027-03-27,56.69,,,0.00,scheduled
240,49,1,2026-02-01,187.50,,,7.00,written_off
241,49,2,2026-02-15,187.50,,,7.00,written_off
242,49,3,2026-03-01,187.50,,,7.00,written_off
243,49,4,2026-03-15,187.50,,,7.00,written_off
244,50,1,2025-07-15,36.08,2025-07-15,36.08,0.00,paid
245,50,2,2025-07-29,36.08,2025-08-01,36.08,0.00,paid
246,50,3,2025-08-12,36.08,2025-08-10,36.08,0.00,paid
247,50,4,2025-08-26,36.08,2025-08-28,36.08,0.00,paid
248,51,1,2026-03-03,49.41,2026-03-01,49.41,0.00,paid
249,51,2,2026-04-02,49.41,2026-03-31,49.41,0.00,paid
250,51,3,2026-05-02,49.41,2026-05-03,49.41,0.00,paid
251,51,4,2026-06-01,49.41,2026-05-31,49.41,0.00,paid
252,51,5,2026-07-01,49.41,2026-07-01,49.41,7.00,late
253,51,6,2026-07-31,49.41,,,0.00,scheduled
254,51,7,2026-08-30,49.41,,,0.00,scheduled
255,51,8,2026-09-29,49.41,,,0.00,scheduled
256,51,9,2026-10-29,49.41,,,0.00,scheduled
257,51,10,2026-11-28,49.41,,,0.00,scheduled
258,51,11,2026-12-28,49.41,,,0.00,scheduled
259,51,12,2027-01-27,49.41,,,0.00,scheduled
260,52,1,2025-11-06,64.09,2025-11-04,64.09,0.00,paid
261,52,2,2025-12-06,64.09,2025-12-25,64.09,7.00,late
262,52,3,2026-01-05,64.09,2026-01-07,64.09,0.00,paid
263,52,4,2026-02-04,64.09,2026-02-02,64.09,0.00,paid
264,52,5,2026-03-06,64.09,2026-03-07,64.09,0.00,paid
265,52,6,2026-04-05,64.09,2026-04-07,64.09,0.00,paid
266,53,1,2025-10-03,35.04,2025-10-03,35.04,0.00,paid
267,53,2,2025-11-02,35.04,2025-11-03,35.04,0.00,paid
268,53,3,2025-12-02,35.04,2025-11-29,35.04,0.00,paid
269,53,4,2026-01-01,35.04,2025-12-29,35.04,0.00,paid
270,53,5,2026-01-31,35.04,2026-01-29,35.04,0.00,paid
271,53,6,2026-03-02,35.04,2026-03-03,35.04,0.00,paid
272,54,1,2026-07-17,36.03,,,0.00,scheduled
273,54,2,2026-08-16,36.03,,,0.00,scheduled
274,54,3,2026-09-15,36.03,,,0.00,scheduled
275,54,4,2026-10-15,36.03,,,0.00,scheduled
276,54,5,2026-11-14,36.03,,,0.00,scheduled
277,54,6,2026-12-14,36.03,,,0.00,scheduled
278,55,1,2026-05-19,187.93,2026-05-18,187.93,0.00,paid
279,55,2,2026-06-18,187.93,2026-06-19,187.93,0.00,paid
280,55,3,2026-07-18,187.93,,,0.00,scheduled
281,56,1,2026-05-01,12.86,2026-05-03,12.86,0.00,paid
282,56,2,2026-05-31,12.86,2026-05-28,12.86,0.00,paid
283,56,3,2026-06-30,12.86,2026-07-01,12.86,0.00,paid
284,56,4,2026-07-30,12.86,,,0.00,scheduled
285,56,5,2026-08-29,12.86,,,0.00,scheduled
286,56,6,2026-09-28,12.86,,,0.00,scheduled
287,57,1,2026-07-22,71.97,,,0.00,scheduled
288,57,2,2026-08-05,71.97,,,0.00,scheduled
289,57,3,2026-08-19,71.97,,,0.00,scheduled
290,57,4,2026-09-02,71.97,,,0.00,scheduled
291,58,1,2026-07-11,172.66,,,0.00,scheduled
292,58,2,2026-08-10,172.66,,,0.00,scheduled
293,58,3,2026-09-09,172.66,,,0.00,scheduled
294,59,1,2026-07-08,197.82,,,0.00,scheduled
295,59,2,2026-07-22,197.82,,,0.00,scheduled
296,59,3,2026-08-05,197.82,,,0.00,scheduled
297,59,4,2026-08-19,197.82,,,0.00,scheduled
298,60,1,2026-06-24,39.26,2026-06-23,39.26,0.00,paid
299,60,2,2026-07-08,39.26,,,0.00,scheduled
300,60,3,2026-07-22,39.26,,,0.00,scheduled
301,60,4,2026-08-05,39.26,,,0.00,scheduled
302,61,1,2026-06-03,101.93,2026-05-31,101.93,0.00,paid
303,61,2,2026-07-03,101.93,,,0.00,scheduled
304,61,3,2026-08-02,101.93,,,0.00,scheduled
305,61,4,2026-09-01,101.93,,,0.00,scheduled
306,61,5,2026-10-01,101.93,,,0.00,scheduled
307,61,6,2026-10-31,101.93,,,0.00,scheduled
308,62,1,2026-01-04,90.01,2026-01-04,90.01,0.00,paid
309,62,2,2026-02-03,90.01,2026-02-03,90.01,0.00,paid
310,62,3,2026-03-05,90.01,2026-03-05,90.01,0.00,paid
311,63,1,2025-05-04,22.60,,,7.00,missed
312,63,2,2025-05-18,22.60,,,7.00,missed
313,63,3,2025-06-01,22.60,,,7.00,missed
314,63,4,2025-06-15,22.60,,,7.00,missed
315,64,1,2026-04-24,12.57,2026-04-22,12.57,0.00,paid
316,64,2,2026-05-24,12.57,2026-05-23,12.57,0.00,paid
317,64,3,2026-06-23,12.57,2026-06-24,12.57,0.00,paid
318,64,4,2026-07-23,12.57,,,0.00,scheduled
319,64,5,2026-08-22,12.57,,,0.00,scheduled
320,64,6,2026-09-21,12.57,,,0.00,scheduled
321,65,1,2026-03-29,76.10,2026-03-29,76.10,0.00,paid
322,65,2,2026-04-28,76.10,2026-04-27,76.10,0.00,paid
323,65,3,2026-05-28,76.10,2026-06-11,76.10,7.00,late
324,65,4,2026-06-27,76.10,2026-06-27,76.10,0.00,paid
325,65,5,2026-07-27,76.10,,,0.00,scheduled
326,65,6,2026-08-26,76.10,,,0.00,scheduled
327,66,1,2025-04-29,31.17,2025-04-28,31.17,0.00,paid
328,66,2,2025-05-13,31.17,2025-05-11,31.17,0.00,paid
329,66,3,2025-05-27,31.17,2025-05-28,31.17,0.00,paid
330,66,4,2025-06-10,31.17,2025-06-10,31.17,0.00,paid
331,67,1,2026-07-18,7.99,,,0.00,scheduled
332,67,2,2026-08-01,7.99,,,0.00,scheduled
333,67,3,2026-08-15,7.99,,,0.00,scheduled
334,67,4,2026-08-29,7.99,,,0.00,scheduled
335,68,1,2026-06-02,34.10,,,7.00,late
336,68,2,2026-07-02,34.10,,,0.00,scheduled
337,68,3,2026-08-01,34.10,,,0.00,scheduled
338,68,4,2026-08-31,34.10,,,0.00,scheduled
339,68,5,2026-09-30,34.10,,,0.00,scheduled
340,68,6,2026-10-30,34.10,,,0.00,scheduled
341,68,7,2026-11-29,34.10,,,0.00,scheduled
342,68,8,2026-12-29,34.10,,,0.00,scheduled
343,68,9,2027-01-28,34.10,,,0.00,scheduled
344,68,10,2027-02-27,34.10,,,0.00,scheduled
345,68,11,2027-03-29,34.10,,,0.00,scheduled
346,68,12,2027-04-28,34.10,,,0.00,scheduled
347,69,1,2026-07-20,10.36,,,0.00,scheduled
348,69,2,2026-08-19,10.36,,,0.00,scheduled
349,69,3,2026-09-18,10.36,,,0.00,scheduled
350,69,4,2026-10-18,10.36,,,0.00,scheduled
351,69,5,2026-11-17,10.36,,,0.00,scheduled
352,69,6,2026-12-17,10.36,,,0.00,scheduled
353,70,1,2025-07-26,35.18,2025-07-29,35.18,0.00,paid
354,70,2,2025-08-25,35.18,2025-08-22,35.18,0.00,paid
355,70,3,2025-09-24,35.18,2025-10-14,35.18,7.00,late
356,70,4,2025-10-24,35.18,2025-10-22,35.18,0.00,paid
357,70,5,2025-11-23,35.18,2025-11-21,35.18,0.00,paid
358,70,6,2025-12-23,35.18,2025-12-26,35.18,0.00,paid
359,71,1,2026-07-25,11.17,,,0.00,scheduled
360,71,2,2026-08-24,11.17,,,0.00,scheduled
361,71,3,2026-09-23,11.17,,,0.00,scheduled
362,71,4,2026-10-23,11.17,,,0.00,scheduled
363,71,5,2026-11-22,11.17,,,0.00,scheduled
364,71,6,2026-12-22,11.17,,,0.00,scheduled
365,71,7,2027-01-21,11.17,,,0.00,scheduled
366,71,8,2027-02-20,11.17,,,0.00,scheduled
367,71,9,2027-03-22,11.17,,,0.00,scheduled
368,71,10,2027-04-21,11.17,,,0.00,scheduled
369,71,11,2027-05-21,11.17,,,0.00,scheduled
370,71,12,2027-06-20,11.17,,,0.00,scheduled
371,72,1,2026-06-04,170.41,2026-06-03,170.41,0.00,paid
372,72,2,2026-07-04,170.41,,,0.00,scheduled
373,72,3,2026-08-03,170.41,,,0.00,scheduled
374,72,4,2026-09-02,170.41,,,0.00,scheduled
375,72,5,2026-10-02,170.41,,,0.00,scheduled
376,72,6,2026-11-01,170.41,,,0.00,scheduled
377,73,1,2025-10-13,133.27,2025-10-11,133.27,0.00,paid
378,73,2,2025-10-27,133.27,2025-10-25,133.27,0.00,paid
379,73,3,2025-11-10,133.27,2025-11-09,133.27,0.00,paid
380,73,4,2025-11-24,133.27,2025-11-24,133.27,0.00,paid
381,74,1,2025-09-27,154.84,2025-09-28,154.84,0.00,paid
382,74,2,2025-10-27,154.84,2025-10-25,154.84,0.00,paid
383,74,3,2025-11-26,154.84,2025-11-23,154.84,0.00,paid
384,74,4,2025-12-26,154.84,2025-12-28,154.84,0.00,paid
385,74,5,2026-01-25,154.84,2026-01-22,154.84,0.00,paid
386,74,6,2026-02-24,154.84,2026-02-24,154.84,0.00,paid
387,75,1,2026-03-26,45.61,2026-03-26,45.61,0.00,paid
388,75,2,2026-04-09,45.61,2026-04-10,45.61,0.00,paid
389,75,3,2026-04-23,45.61,2026-05-13,45.61,7.00,late
390,75,4,2026-05-07,45.61,2026-05-06,45.61,0.00,paid
391,76,1,2026-01-17,204.22,2026-01-17,204.22,0.00,paid
392,76,2,2026-01-31,204.22,2026-02-01,204.22,0.00,paid
393,76,3,2026-02-14,204.22,2026-02-16,204.22,0.00,paid
394,76,4,2026-02-28,204.22,2026-03-01,204.22,0.00,paid
395,77,1,2025-10-20,122.58,2025-11-02,122.58,7.00,late
396,77,2,2025-11-03,122.58,2025-11-03,122.58,0.00,paid
397,77,3,2025-11-17,122.58,2025-11-20,122.58,0.00,paid
398,77,4,2025-12-01,122.58,2025-11-28,122.58,0.00,paid
399,78,1,2026-06-10,96.78,2026-06-11,96.78,0.00,paid
400,78,2,2026-07-10,96.78,,,0.00,scheduled
401,78,3,2026-08-09,96.78,,,0.00,scheduled
402,78,4,2026-09-08,96.78,,,0.00,scheduled
403,78,5,2026-10-08,96.78,,,0.00,scheduled
404,78,6,2026-11-07,96.78,,,0.00,scheduled
405,79,1,2026-02-09,31.33,2026-02-11,31.33,0.00,paid
406,79,2,2026-02-23,31.33,2026-03-12,31.33,7.00,late
407,79,3,2026-03-09,31.33,2026-03-12,31.33,0.00,paid
408,79,4,2026-03-23,31.33,2026-03-26,31.33,0.00,paid
409,80,1,2026-02-11,9.11,2026-02-14,9.11,0.00,paid
410,80,2,2026-02-25,9.11,2026-03-10,9.11,7.00,late
411,80,3,2026-03-11,9.11,2026-03-24,9.11,7.00,late
412,80,4,2026-03-25,9.11,2026-03-22,9.11,0.00,paid
413,81,1,2026-01-25,193.85,2026-01-23,193.85,0.00,paid
414,81,2,2026-02-08,193.85,2026-02-07,193.85,0.00,paid
415,81,3,2026-02-22,193.85,2026-02-25,193.85,0.00,paid
416,81,4,2026-03-08,193.85,2026-03-17,193.85,7.00,late
417,82,1,2026-07-18,73.56,,,0.00,scheduled
418,82,2,2026-08-01,73.56,,,0.00,scheduled
419,82,3,2026-08-15,73.56,,,0.00,scheduled
420,82,4,2026-08-29,73.56,,,0.00,scheduled
421,83,1,2026-02-17,135.12,2026-02-27,135.12,7.00,late
422,83,2,2026-03-03,135.12,2026-03-02,135.12,0.00,paid
423,83,3,2026-03-17,135.12,2026-04-03,135.12,7.00,late
424,83,4,2026-03-31,135.12,2026-04-01,135.12,0.00,paid
425,84,1,2026-04-21,131.01,2026-04-20,131.01,0.00,paid
426,84,2,2026-05-21,131.01,2026-05-22,131.01,0.00,paid
427,84,3,2026-06-20,131.01,2026-06-21,131.01,0.00,paid
428,84,4,2026-07-20,131.01,,,0.00,scheduled
429,84,5,2026-08-19,131.01,,,0.00,scheduled
430,84,6,2026-09-18,131.01,,,0.00,scheduled
431,85,1,2026-04-16,182.13,2026-04-16,182.13,0.00,paid
432,85,2,2026-05-16,182.13,2026-05-13,182.13,0.00,paid
433,85,3,2026-06-15,182.13,2026-06-18,182.13,0.00,paid
434,85,4,2026-07-15,182.13,,,0.00,scheduled
435,85,5,2026-08-14,182.13,,,0.00,scheduled
436,85,6,2026-09-13,182.13,,,0.00,scheduled
437,86,1,2025-06-14,43.13,2025-06-17,43.13,0.00,paid
438,86,2,2025-06-28,43.13,2025-06-28,43.13,0.00,paid
439,86,3,2025-07-12,43.13,2025-07-13,43.13,0.00,paid
440,86,4,2025-07-26,43.13,2025-07-23,43.13,0.00,paid
441,87,1,2026-01-14,33.08,2026-01-13,33.08,0.00,paid
442,87,2,2026-02-13,33.08,2026-02-11,33.08,0.00,paid
443,87,3,2026-03-15,33.08,2026-03-12,33.08,0.00,paid
444,87,4,2026-04-14,33.08,2026-04-13,33.08,0.00,paid
445,87,5,2026-05-14,33.08,2026-05-17,33.08,0.00,paid
446,87,6,2026-06-13,33.08,2026-06-13,33.08,0.00,paid
447,87,7,2026-07-13,33.08,,,0.00,scheduled
448,87,8,2026-08-12,33.08,,,0.00,scheduled
449,87,9,2026-09-11,33.08,,,0.00,scheduled
450,87,10,2026-10-11,33.08,,,0.00,scheduled
451,87,11,2026-11-10,33.08,,,0.00,scheduled
452,87,12,2026-12-10,33.08,,,0.00,scheduled
453,88,1,2025-08-17,14.64,2025-08-24,14.64,7.00,late
454,88,2,2025-09-16,14.64,2025-09-20,14.64,7.00,late
455,88,3,2025-10-16,14.64,2025-10-16,14.64,0.00,paid
456,88,4,2025-11-15,14.64,2025-11-14,14.64,0.00,paid
457,88,5,2025-12-15,14.64,2025-12-16,14.64,0.00,paid
