plan_id,customer_id,merchant_id,product_type,num_installments,order_amount_usd,total_repayable_usd,apr_bps,created_at,status
48,16,30,pay_monthly_12,12,555.48,680.28,2278,2026-04-01,active
49,17,16,pay_in_4,4,750.00,750.00,0,2026-01-02,defaulted
50,18,59,pay_in_4,4,144.32,144.32,0,2025-06-15,paid_off
51,18,6,pay_monthly_12,12,449.36,592.91,3239,2026-02-01,active
52,18,31,pay_monthly_6,6,350.73,384.56,1956,2025-10-07,active
53,19,37,pay_monthly_6,6,193.54,210.21,1747,2025-09-03,paid_off
54,21,48,pay_monthly_6,6,195.90,216.16,2097,2026-06-17,active
55,21,5,pay_in_3,3,563.79,563.79,0,2026-04-19,active
56,21,60,pay_monthly_6,6,68.80,77.18,2471,2026-04-01,active
57,21,54,pay_in_4,4,287.86,287.86,0,2026-06-22,active
58,22,49,pay_in_3,3,517.98,517.98,0,2026-06-11,active
59,22,32,pay_in_4,4,791.29,791.29,0,2026-06-08,active
60,22,55,pay_in_4,4,157.02,157.02,0,2026-05-25,active
61,22,25,pay_monthly_6,6,543.49,611.57,2540,2026-05-04,active
62,22,50,pay_in_3,3,270.04,270.04,0,2025-12-05,paid_off
63,22,57,pay_in_4,4,90.39,90.39,0,2025-04-04,delinquent
64,23,41,pay_monthly_6,6,67.47,75.40,2384,2026-03-25,active
65,23,1,pay_monthly_6,6,422.78,456.62,1623,2026-02-27,active
66,23,34,pay_in_4,4,124.68,124.68,0,2025-03-30,paid_off
67,23,58,pay_in_4,4,31.97,31.97,0,2026-06-18,active
68,23,46,pay_monthly_12,12,317.94,409.22,2911,2026-05-03,delinquent
69,25,55,pay_monthly_6,6,56.92,62.13,1856,2026-06-20,active
70,25,56,pay_monthly_6,6,191.62,211.10,2061,2025-06-26,active
71,25,37,pay_monthly_12,12,104.08,134.02,2917,2026-06-25,active
72,25,22,pay_monthly_6,6,913.96,1022.49,2408,2026-05-05,active
73,25,9,pay_in_4,4,533.07,533.07,0,2025-09-13,paid_off
74,26,30,pay_monthly_6,6,857.60,929.07,1690,2025-08-28,paid_off
75,27,9,pay_in_4,4,182.43,182.43,0,2026-02-24,active
76,27,26,pay_in_4,4,816.87,816.87,0,2025-12-18,paid_off
77,27,54,pay_in_4,4,490.31,490.31,0,2025-09-20,active
78,27,27,pay_monthly_6,6,539.99,580.68,1528,2026-05-11,active
79,28,59,pay_in_4,4,125.32,125.32,0,2026-01-10,active
80,28,60,pay_in_4,4,36.42,36.42,0,2026-01-12,active
81,29,16,pay_in_4,4,775.41,775.41,0,2025-12-26,active
82,30,49,pay_in_4,4,294.23,294.23,0,2026-06-18,active
83,31,4,pay_in_4,4,540.48,540.48,0,2026-01-18,active
84,31,12,pay_monthly_6,6,711.62,786.05,2121,2026-03-22,active
85,32,22,pay_monthly_6,6,988.67,1092.76,2135,2026-03-17,active
86,32,49,pay_in_4,4,172.52,172.52,0,2025-05-15,paid_off
87,32,25,pay_monthly_12,12,314.09,396.96,2675,2025-12-15,active
88,32,60,pay_monthly_6,6,81.40,87.85,1608,2025-07-18,active
89,32,22,pay_in_3,3,904.43,904.43,0,2026-03-17,paid_off
90,32,44,pay_in_4,4,366.91,366.91,0,2025-10-18,active
91,33,10,pay_monthly_12,12,179.19,215.63,2062,2026-02-11,active
92,33,28,pay_monthly_6,6,140.98,156.48,2229,2026-02-28,delinquent
93,33,24,pay_in_3,3,719.56,719.56,0,2026-06-13,active
94,34,14,pay_monthly_6,6,380.63,414.19,1788,2026-05-03,active
95,34,30,pay_in_4,4,817.64,817.64,0,2026-01-14,paid_off
96,34,20,pay_in_4,4,1136.28,1136.28,0,2026-06-09,active
97,34,54,pay_monthly_6,6,110.60,123.75,2411,2025-12-22,defaulted
98,34,9,pay_in_4,4,705.26,705.26,0,2025-12-09,active
99,34,60,pay_monthly_6,6,127.78,143.70,2526,2026-03-26,active
100,34,42,pay_in_3,3,141.01,141.01,0,2026-01-25,active
101,35,37,pay_in_4,4,119.67,119.67,0,2025-12-01,paid_off
102,35,4,pay_in_3,3,213.03,213.03,0,2025-10-05,active
103,35,48,pay_in_4,4,105.77,105.77,0,2026-04-28,active
104,36,38,pay_in_3,3,110.93,110.93,0,2026-05-23,defaulted
105,38,61,pay_monthly_12,12,211.25,266.78,2665,2026-01-07,active
106,38,35,pay_monthly_12,12,93.62,117.31,2566,2025-10-23,active
107,39,15,pay_in_4,4,847.90,847.90,0,2025-10-11,paid_off
108,39,45,pay_in_4,4,242.16,242.16,0,2026-03-18,paid_off
109,39,29,pay_monthly_6,6,301.58,323.99,1507,2026-05-25,active
110,39,58,pay_in_3,3,72.47,72.47,0,2026-03-28,paid_off
111,39,26,pay_in_4,4,391.01,391.01,0,2026-03-20,paid_off
112,40,28,pay_in_4,4,191.05,191.05,0,2026-04-18,paid_off
113,40,33,pay_in_3,3,340.39,340.39,0,2026-05-15,active
114,40,10,pay_in_4,4,527.19,527.19,0,2026-05-04,active
115,40,27,pay_monthly_6,6,507.67,560.25,2100,2025-07-10,active
116,41,5,pay_in_4,4,317.57,317.57,0,2025-11-16,paid_off
117,41,5,pay_in_4,4,181.36,181.36,0,2026-02-03,defaulted
118,42,45,pay_monthly_6,6,319.57,356.94,2371,2026-02-26,active
119,42,36,pay_in_4,4,138.94,138.94,0,2026-02-06,paid_off
120,43,61,pay_in_3,3,80.00,80.00,0,2026-02-27,paid_off
121,43,59,pay_in_4,4,136.60,136.60,0,2026-06-13,active
122,43,35,pay_in_3,3,86.65,86.65,0,2025-12-16,paid_off
123,43,30,pay_monthly_12,12,582.71,716.05,2320,2026-02-21,active
124,45,36,pay_monthly_6,6,100.53,110.58,2028,2026-04-29,defaulted
125,45,36,pay_in_4,4,314.06,314.06,0,2026-05-03,defaulted
126,45,36,pay_in_4,4,131.82,131.82,0,2026-05-11,defaulted
127,46,46,pay_in_4,4,177.66,177.66,0,2026-05-23,active
128,47,29,pay_in_4,4,433.64,433.64,0,2026-03-04,delinquent
129,47,26,pay_in_4,4,755.86,755.86,0,2026-03-22,paid_off
130,48,10,pay_in_4,4,289.84,289.84,0,2026-02-24,paid_off
131,48,39,pay_monthly_12,12,41.75,55.18,3261,2025-07-09,active
132,48,55,pay_monthly_12,12,58.37,72.24,2410,2025-11-10,active
133,48,28,pay_monthly_6,6,502.25,547.97,1846,2026-05-16,active
134,48,43,pay_monthly_6,6,194.06,214.16,2100,2025-03-28,active
135,48,16,pay_in_4,4,411.82,411.82,0,2026-01-02,paid_off
136,48,34,pay_monthly_6,6,535.58,585.31,1883,2026-01-15,active
137,49,31,pay_in_3,3,484.28,484.28,0,2026-03-03,paid_off
138,49,30,pay_monthly_6,6,452.28,491.33,1751,2025-09-28,active
139,49,47,pay_monthly_6,6,379.58,417.94,2049,2026-02-07,active
140,49,52,pay_in_3,3,153.65,153.65,0,2026-01-25,paid_off
141,49,32,pay_in_3,3,536.28,536.28,0,2025-09-08,active
142,50,41,pay_monthly_6,6,169.67,190.71,2515,2025-08-14,paid_off
143,51,53,pay_in_4,4,361.48,361.48,0,2026-03-11,paid_off
144,51,10,pay_in_4,4,362.45,362.45,0,2025-09-05,active
145,51,25,pay_in_4,4,996.41,996.41,0,2025-07-06,paid_off
146,54,2,pay_in_4,4,496.42,496.42,0,2025-08-13,paid_off
147,54,61,pay_in_4,4,107.48,107.48,0,2025-11-08,paid_off
148,55,30,pay_in_4,4,1054.52,1054.52,0,2026-05-27,active
149,56,5,pay_in_4,4,431.21,431.21,0,2025-08-06,delinquent
150,56,33,pay_monthly_6,6,970.14,1045.97,1585,2025-04-15,active
151,56,33,pay_in_3,3,605.44,605.44,0,2026-05-27,active
152,56,41,pay_in_4,4,149.57,149.57,0,2025-08-26,active
153,56,31,pay_in_4,4,496.27,496.27,0,2026-05-19,active
154,57,17,pay_in_4,4,296.29,296.29,0,2025-12-26,defaulted
155,57,23,pay_in_4,4,196.09,196.09,0,2025-09-03,paid_off
156,57,39,pay_in_4,4,61.80,61.80,0,2025-11-11,defaulted
157,57,53,pay_monthly_6,6,293.89,327.43,2314,2025-11-23,paid_off
158,58,43,pay_in_4,4,82.68,82.68,0,2026-06-25,active
159,58,57,pay_in_4,4,96.58,96.58,0,2026-05-24,active
160,58,38,pay_in_4,4,77.37,77.37,0,2026-04-10,active
161,58,38,pay_monthly_6,6,151.80,168.25,2197,2026-04-04,defaulted
162,59,41,pay_monthly_12,12,67.71,81.77,2105,2025-05-19,active
163,59,21,pay_in_3,3,969.42,969.42,0,2025-10-21,paid_off
164,60,47,pay_in_4,4,176.95,176.95,0,2026-03-23,defaulted
165,61,32,pay_monthly_6,6,647.25,723.54,2390,2026-03-25,active
166,61,18,pay_in_3,3,1212.10,1212.10,0,2026-03-11,paid_off
167,62,19,pay_monthly_12,12,218.61,283.73,3020,2026-03-09,delinquent
168,62,61,pay_monthly_6,6,37.00,40.28,1796,2026-06-11,active
169,62,60,pay_in_4,4,69.28,69.28,0,2026-02-11,active
170,62,28,pay_monthly_12,12,421.74,511.01,2146,2025-08-12,active
171,62,28,pay_in_4,4,319.19,319.19,0,2026-04-07,active
172,63,12,pay_in_4,4,723.57,723.57,0,2026-01-03,active
173,63,29,pay_in_4,4,216.13,216.13,0,2026-05-05,active
174,64,57,pay_monthly_12,12,64.43,84.29,3126,2026-05-19,delinquent
175,64,27,pay_monthly_12,12,390.29,520.82,3391,2026-02-26,active
176,64,1,pay_in_4,4,339.69,339.69,0,2025-06-02,paid_off
177,65,46,pay_in_4,4,308.00,308.00,0,2026-05-24,delinquent
178,68,59,pay_in_4,4,43.23,43.23,0,2026-06-06,active
179,68,25,pay_in_4,4,1068.60,1068.60,0,2026-01-08,paid_off
180,69,1,pay_in_4,4,309.18,309.18,0,2025-11-21,active
181,69,9,pay_in_4,4,202.31,202.31,0,2025-12-21,active
182,69,44,pay_in_3,3,273.22,273.22,0,2026-05-09,delinquent
183,71,25,pay_in_4,4,977.62,977.62,0,2026-02-25,paid_off
184,71,11,pay_monthly_6,6,1285.95,1428.13,2242,2026-05-16,active
185,71,42,pay_in_4,4,114.61,114.61,0,2025-11-25,active
186,72,9,pay_in_4,4,273.95,273.95,0,2025-07-07,paid_off
187,73,33,pay_in_3,3,607.58,607.58,0,2025-11-21,active
188,73,19,pay_monthly_6,6,2419.35,2720.01,2520,2026-06-17,active
189,73,45,pay_in_4,4,374.72,374.72,0,2025-08-28,paid_off
190,73,37,pay_monthly_6,6,171.42,189.62,2153,2025-10-06,active
191,73,43,pay_in_4,4,155.22,155.22,0,2026-01-05,active
192,74,4,pay_in_3,3,366.55,366.55,0,2026-04-13,active
193,74,42,pay_in_4,4,92.97,92.97,0,2026-02-20,paid_off
194,74,51,pay_in_3,3,217.14,217.14,0,2026-04-08,delinquent
195,76,41,pay_monthly_6,6,118.28,129.14,1861,2026-02-26,active
196,76,21,pay_in_4,4,253.38,253.38,0,2026-01-01,paid_off
197,76,20,pay_in_3,3,825.57,825.57,0,2026-03-07,active
198,76,17,pay_in_4,4,368.82,368.82,0,2025-11-28,paid_off
199,77,55,pay_monthly_6,6,76.00,82.17,1646,2026-01-22,active
200,77,15,pay_in_4,4,717.77,717.77,0,2026-04-04,active
201,77,59,pay_in_4,4,212.31,212.31,0,2026-05-23,active
202,78,60,pay_in_4,4,93.70,93.70,0,2026-05-17,active
203,78,6,pay_in_3,3,89.16,89.16,0,2026-03-18,paid_off
204,78,25,pay_in_4,4,446.03,446.03,0,2025-09-13,active
205,78,10,pay_in_4,4,322.79,322.79,0,2026-06-13,active
206,79,22,pay_monthly_6,6,493.61,533.90,1655,2026-04-26,delinquent
207,79,18,pay_in_4,4,495.52,495.52,0,2025-08-10,defaulted
208,81,9,pay_monthly_6,6,632.47,709.79,2479,2026-06-21,active
209,81,61,pay_monthly_6,6,78.82,88.07,2380,2026-02-09,delinquent
210,82,24,pay_in_4,4,462.41,462.41,0,2025-10-06,paid_off
211,82,60,pay_in_3,3,188.81,188.81,0,2025-12-17,paid_off
212,82,5,pay_monthly_12,12,318.06,406.30,2813,2025-12-17,active
213,83,39,pay_in_4,4,127.12,127.12,0,2026-02-08,paid_off
214,83,29,pay_monthly_12,12,1097.77,1370.51,2519,2026-03-03,active
215,84,5,pay_in_4,4,294.55,294.55,0,2026-06-08,active
216,84,21,pay_in_4,4,1528.77,1528.77,0,2025-09-24,paid_off
217,85,39,pay_in_4,4,141.22,141.22,0,2025-07-02,paid_off
218,85,40,pay_in_4,4,155.42,155.42,0,2026-02-12,paid_off
219,85,53,pay_in_3,3,285.10,285.10,0,2026-04-12,active
220,85,53,pay_in_3,3,355.64,355.64,0,2026-04-19,active
221,86,22,pay_in_4,4,312.26,312.26,0,2026-02-23,paid_off
222,86,11,pay_monthly_12,12,742.74,974.38,3162,2025-11-21,active
223,86,5,pay_in_4,4,179.48,179.48,0,2026-01-13,paid_off
224,88,7,pay_in_4,4,271.40,271.40,0,2025-04-12,paid_off
225,88,42,pay_monthly_12,12,181.30,229.12,2674,2026-05-05,active
226,88,41,pay_monthly_12,12,79.90,98.25,2328,2025-09-19,active
227,88,18,pay_in_4,4,514.19,514.19,0,2026-05-15,active
228,89,45,pay_in_4,4,160.96,160.96,0,2026-06-13,active
229,89,58,pay_in_4,4,131.03,131.03,0,2026-06-03,active
230,89,4,pay_in_4,4,521.76,521.76,0,2025-09-22,active
231,90,27,pay_in_3,3,423.51,423.51,0,2026-04-14,active
232,91,35,pay_in_4,4,204.87,204.87,0,2026-04-27,delinquent
233,91,36,pay_in_4,4,171.38,171.38,0,2025-06-07,active
234,91,6,pay_monthly_12,12,280.71,346.74,2385,2026-02-21,active
235,91,28,pay_monthly_12,12,850.00,1030.33,2151,2025-12-06,active
236,91,29,pay_monthly_6,6,850.00,950.14,2389,2025-12-05,active
237,91,31,pay_in_4,4,497.50,497.50,0,2026-04-02,paid_off
238,92,38,pay_in_4,4,116.97,116.97,0,2025-08-26,paid_off
239,92,13,pay_in_4,4,435.62,435.62,0,2026-03-26,active
240,92,52,pay_in_4,4,204.25,204.25,0,2026-06-17,active
241,92,46,pay_in_4,4,161.82,161.82,0,2025-08-26,delinquent
242,92,10,pay_in_4,4,360.93,360.93,0,2026-06-13,active
243,93,26,pay_monthly_6,6,482.46,519.62,1562,2026-01-18,active
244,93,17,pay_monthly_12,12,572.78,751.81,3169,2026-05-26,active
245,93,2,pay_in_4,4,408.30,408.30,0,2025-06-12,paid_off
246,93,46,pay_in_4,4,399.22,399.22,0,2025-09-17,paid_off
247,94,19,pay_in_3,3,529.40,529.40,0,2026-06-19,active
248,95,53,pay_monthly_12,12,167.29,212.98,2769,2026-06-24,active
249,96,27,pay_in_3,3,1450.00,1450.00,0,2026-01-26,paid_off
250,96,57,pay_in_3,3,80.03,80.03,0,2025-12-19,delinquent
251,97,31,pay_monthly_12,12,991.02,1299.79,3159,2025-10-06,active
252,97,1,pay_in_4,4,331.11,331.11,0,2025-09-16,paid_off
253,97,29,pay_in_4,4,817.04,817.04,0,2026-06-04,active
254,97,31,pay_monthly_6,6,512.99,564.22,2025,2025-12-09,paid_off
255,98,18,pay_in_4,4,516.95,516.95,0,2026-04-23,active
256,99,38,pay_in_4,4,65.32,65.32,0,2025-11-13,delinquent
257,100,39,pay_in_4,4,175.28,175.28,0,2025-04-23,paid_off
258,100,22,pay_in_3,3,697.20,697.20,0,2026-03-07,defaulted
259,101,57,pay_in_4,4,41.80,41.80,0,2026-06-05,active
260,101,22,pay_monthly_6,6,809.27,878.63,1738,2025-11-26,defaulted
261,102,36,pay_monthly_12,12,208.39,257.41,2385,2026-02-03,active
262,102,10,pay_monthly_12,12,219.30,277.51,2691,2026-06-14,active
263,103,39,pay_in_3,3,357.96,357.96,0,2026-05-17,active
264,104,18,pay_monthly_6,6,723.97,811.80,2460,2026-01-12,active
265,104,37,pay_in_4,4,123.13,123.13,0,2026-03-06,paid_off
266,104,31,pay_monthly_12,12,244.69,307.29,2594,2026-05-26,active
267,105,20,pay_monthly_12,12,870.49,1152.96,3290,2026-06-17,active
268,106,35,pay_in_4,4,218.13,218.13,0,2026-05-09,active
269,106,6,pay_in_4,4,227.57,227.57,0,2025-10-07,paid_off
270,106,42,pay_in_4,4,112.34,112.34,0,2026-06-12,active
271,106,37,pay_in_3,3,116.61,116.61,0,2026-03-17,paid_off
272,106,52,pay_monthly_6,6,420.54,462.97,2046,2026-01-08,active
273,109,54,pay_monthly_12,12,139.13,167.26,2050,2025-12-20,defaulted
274,110,24,pay_in_4,4,635.87,635.87,0,2025-09-06,paid_off
275,110,55,pay_in_4,4,131.32,131.32,0,2025-05-13,active
276,110,40,pay_monthly_6,6,246.46,274.28,2289,2026-05-14,active
277,110,42,pay_monthly_6,6,45.64,49.73,1818,2026-02-16,active
278,110,39,pay_in_3,3,181.74,181.74,0,2025-06-17,paid_off
279,110,48,pay_in_4,4,291.45,291.45,0,2026-05-27,active
280,111,4,pay_in_3,3,232.44,232.44,0,2026-05-04,defaulted
281,111,18,pay_in_4,4,943.68,943.68,0,2026-04-23,active
282,112,19,pay_in_4,4,484.89,484.89,0,2025-02-17,paid_off
283,112,31,pay_in_4,4,288.11,288.11,0,2025-10-16,defaulted
284,112,46,pay_in_4,4,303.74,303.74,0,2025-06-22,active
285,113,54,pay_monthly_6,6,309.55,342.03,2128,2025-04-21,active
286,113,24,pay_in_4,4,781.04,781.04,0,2025-01-24,paid_off
287,113,23,pay_monthly_6,6,1122.59,1218.14,1726,2025-12-27,defaulted
288,114,45,pay_in_3,3,210.93,210.93,0,2025-12-09,paid_off
289,115,1,pay_in_4,4,970.39,970.39,0,2026-04-15,paid_off
290,115,59,pay_in_4,4,44.66,44.66,0,2026-02-13,paid_off
291,115,11,pay_monthly_12,12,404.77,485.41,2020,2025-08-11,active
292,115,10,pay_in_3,3,119.81,119.81,0,2026-05-01,active
293,115,18,pay_in_4,4,528.96,528.96,0,2025-10-13,active
294,116,40,pay_in_4,4,237.99,237.99,0,2026-03-21,active
295,117,2,pay_in_4,4,275.61,275.61,0,2026-05-05,active
296,117,55,pay_in_4,4,42.62,42.62,0,2026-05-25,active
297,118,11,pay_in_3,3,687.93,687.93,0,2025-10-11,paid_off
298,118,15,pay_in_4,4,641.59,641.59,0,2025-06-11,paid_off
299,118,41,pay_in_4,4,136.19,136.19,0,2025-03-08,active
300,118,14,pay_monthly_6,6,341.67,369.40,1646,2026-02-12,active
301,118,40,pay_monthly_12,12,159.39,200.22,2597,2026-05-07,active
302,118,9,pay_monthly_6,6,169.18,185.56,1963,2025-12-19,active
303,119,20,pay_monthly_12,12,826.32,1073.35,3031,2025-11-12,active
304,119,34,pay_monthly_6,6,506.44,565.66,2371,2026-03-26,active
305,119,27,pay_in_4,4,1226.84,1226.84,0,2026-01-21,delinquent
306,119,21,pay_in_4,4,697.30,697.30,0,2025-12-21,paid_off
307,119,30,pay_monthly_6,6,612.50,658.65,1528,2025-12-04,paid_off
308,119,39,pay_in_4,4,480.99,480.99,0,2025-08-28,paid_off
309,119,22,pay_in_3,3,855.95,855.95,0,2025-10-22,delinquent
310,119,27,pay_monthly_6,6,767.02,848.38,2151,2026-05-23,delinquent
311,119,25,pay_in_4,4,993.60,993.60,0,2026-03-25,paid_off
312,120,3,pay_monthly_6,6,455.15,495.46,1796,2026-02-17,delinquent
313,122,10,pay_monthly_6,6,199.51,221.59,2244,2026-06-04,active
314,123,44,pay_in_4,4,81.84,81.84,0,2026-01-16,paid_off
315,123,29,pay_monthly_6,6,810.25,893.08,2073,2026-02-01,active
316,123,50,pay_in_4,4,401.53,401.53,0,2026-05-15,active
317,123,22,pay_monthly_6,6,849.01,951.25,2442,2026-05-15,active
318,124,40,pay_monthly_6,6,65.82,72.02,1909,2025-11-17,paid_off
319,124,59,pay_in_4,4,38.40,38.40,0,2025-12-23,active
320,124,5,pay_in_4,4,303.64,303.64,0,2025-10-16,paid_off
321,124,38,pay_monthly_12,12,109.70,134.76,2316,2025-09-10,active
322,124,13,pay_in_4,4,935.23,935.23,0,2026-03-13,delinquent
323,124,35,pay_in_4,4,140.09,140.09,0,2025-12-11,active
324,125,4,pay_monthly_12,12,273.11,334.71,2287,2026-02-13,active
325,125,2,pay_in_4,4,184.09,184.09,0,2025-02-09,active
326,125,53,pay_in_4,4,282.81,282.81,0,2025-06-14,active
327,125,47,pay_monthly_12,12,535.49,644.66,2067,2026-05-07,active
328,126,5,pay_in_3,3,483.97,483.97,0,2026-05-10,active
329,126,51,pay_monthly_12,12,114.45,151.28,3263,2025-10-28,active
330,126,40,pay_in_3,3,226.41,226.41,0,2026-01-03,paid_off
331,126,24,pay_in_3,3,1206.39,1206.39,0,2025-11-14,paid_off
332,127,24,pay_in_3,3,1296.12,1296.12,0,2026-06-24,active
333,127,50,pay_monthly_12,12,272.54,331.09,2178,2026-04-17,active
334,127,12,pay_in_4,4,563.30,563.30,0,2026-01-10,paid_off
335,128,14,pay_monthly_12,12,539.96,666.71,2380,2026-04-11,active
336,128,18,pay_in_3,3,630.95,630.95,0,2025-11-02,paid_off
337,128,47,pay_in_4,4,148.19,148.19,0,2026-06-02,active
338,129,34,pay_in_4,4,709.67,709.67,0,2025-11-06,active
339,129,37,pay_monthly_6,6,192.01,211.71,2081,2025-09-28,paid_off
340,129,9,pay_monthly_6,6,179.00,201.22,2517,2026-03-05,defaulted
341,129,36,pay_in_4,4,128.22,128.22,0,2025-08-24,defaulted
342,129,12,pay_in_4,4,984.42,984.42,0,2025-11-05,paid_off
343,129,8,pay_in_4,4,631.57,631.57,0,2025-09-13,active
344,131,16,pay_in_3,3,1671.07,1671.07,0,2025-09-22,paid_off
345,132,61,pay_monthly_6,6,53.49,59.42,2249,2025-08-19,delinquent
346,132,17,pay_in_4,4,658.84,658.84,0,2025-09-01,delinquent
347,132,13,pay_in_3,3,1054.03,1054.03,0,2026-05-26,defaulted
348,134,39,pay_in_4,4,123.36,123.36,0,2026-01-07,paid_off
349,134,48,pay_in_3,3,208.84,208.84,0,2025-10-28,paid_off
350,134,40,pay_in_4,4,86.46,86.46,0,2025-03-27,active
351,134,7,pay_in_3,3,239.32,239.32,0,2025-06-13,paid_off
352,135,41,pay_in_4,4,107.27,107.27,0,2026-06-19,active
353,135,58,pay_in_4,4,346.76,346.76,0,2025-07-11,delinquent
354,135,33,pay_in_4,4,231.77,231.77,0,2025-11-22,active
355,136,8,pay_monthly_12,12,224.74,270.40,2060,2026-02-03,active
356,136,20,pay_monthly_6,6,1518.50,1689.61,2285,2026-01-30,active
357,136,18,pay_monthly_6,6,392.43,432.59,2075,2026-02-10,active
358,138,41,pay_monthly_12,12,143.70,182.85,2762,2025-11-15,active
359,138,2,pay_in_3,3,777.24,777.24,0,2026-05-23,delinquent
360,138,18,pay_in_4,4,860.58,860.58,0,2026-06-09,active
361,139,51,pay_in_3,3,109.64,109.64,0,2025-04-07,active
362,139,28,pay_in_4,4,939.72,939.72,0,2026-02-19,paid_off
363,139,17,pay_monthly_6,6,590.42,641.26,1746,2025-07-25,active
364,139,6,pay_in_4,4,310.56,310.56,0,2025-12-12,defaulted
365,140,49,pay_in_4,4,205.43,205.43,0,2026-03-09,delinquent
366,140,46,pay_monthly_6,6,397.56,428.52,1579,2026-02-19,active
367,140,60,pay_in_3,3,62.89,62.89,0,2026-02-16,delinquent
368,141,49,pay_in_4,4,331.65,331.65,0,2026-03-05,paid_off
369,141,11,pay_monthly_6,6,918.24,1029.73,2462,2026-04-17,active
370,141,13,pay_in_4,4,681.76,681.76,0,2026-06-19,active
371,142,31,pay_in_4,4,411.48,411.48,0,2026-04-14,paid_off
372,142,52,pay_in_3,3,116.08,116.08,0,2026-05-01,defaulted
373,142,3,pay_monthly_12,12,146.35,178.45,2224,2026-05-13,active
374,143,17,pay_monthly_12,12,1092.10,1313.88,2059,2025-12-06,active
375,143,6,pay_monthly_6,6,706.78,782.94,2185,2026-03-05,active
376,144,32,pay_monthly_6,6,963.17,1036.41,1542,2026-04-03,delinquent
377,144,21,pay_in_4,4,2260.63,2260.63,0,2026-03-24,paid_off
378,144,27,pay_in_4,4,721.17,721.17,0,2026-02-23,active
379,144,13,pay_monthly_6,6,632.72,701.96,2219,2026-03-16,active
380,144,3,pay_in_4,4,446.24,446.24,0,2025-05-24,active
